VARIABLES = "x" "rho" "M" "P" "Phi"
Zone T ="exact t=2" I = 19 , F = point        
-5.000000  1.000000  0.000000  1.000000  1.000000
-2.366432  1.000000  0.000000  1.000000  1.000000
-2.180941  0.936364  0.066185  0.912059  1.000000
-1.995451  0.876011  0.134145  0.830832  1.000000
-1.809960  0.818810  0.203954  0.755886  1.000000
-1.624470  0.764637  0.275686  0.686811  1.000000
-1.438979  0.713370  0.349425  0.623219  1.000000
-1.253489  0.664890  0.425253  0.564742  1.000000
-1.067998  0.619083  0.503263  0.511032  1.000000
-0.882508  0.575836  0.583548  0.461762  1.000000
-0.697017  0.535040  0.666211  0.416621  1.000000
-0.511527  0.496590  0.751358  0.375316  1.000000
-0.326036  0.460383  0.839103  0.337573  1.000000
-0.140546  0.426320  0.929567  0.303130  1.000000
 1.854905  0.426320  0.929567  0.303130  1.000000
 1.854905  0.265574  0.733678  0.303130  0.500000
 3.504312  0.265574  0.733678  0.303130  0.500000
 3.504312  0.125000  0.000000  0.100000  0.500000
 5.000000  0.125000  0.000000  0.100000  0.500000
